,Date,Tweets
0,2020-07-23,Are we in overbought territory? #TSLA RSI 65+
1,2020-07-23,"Ive noticed that every fucker who tags $TSLA into their tweet knows dick all about #TSLA . They either think theyre going to influence the market, or make themselves look like Mr Big Balls trade caller, they do neither. Try saying something useful people"
2,2020-07-23,"RT @Travisdleslie: Tesla could potentially have the most accurate map system that is updated regularly, if not daily. Giving us live update…"
3,2020-07-23,"Tesla bull share price target $tsla #tsla #tesla 

😂 https://t.co/IjiJfD0Qr6"
4,2020-07-23,"Next year, it will be funny watching the coal-rolling truck enthusiasts be shamed by Cybertruck.

The Ford F series will be available in Fisher Price trim level in 2021!

#TSLA"
5,2020-07-23,$NKLA is now at its starting IPO price. Wow. What a crazy 45 days it’s been for the stock. Up to $93 now back to $34. I’ve said before this stock has many capital intensive hurdles to overcome #nkla #hydrogen #TSLA
6,2020-07-23,"I am claiming the term ""Elonsmart"" to be used to describe @elonmusk 's subtle brilliance and stratigies. #Elonsmart #elonsmart @Tesla #Tesla #Teslastock #TSLA $tsla"
7,2020-07-23,#MSFT and #TSLA beat expectations handsomely and are down ~4% each. #UAL and #TWTR had dismal results and yet their stocks are up ~5%. Does this make sense? Will it ever?
8,2020-07-23,"RT @Travisdleslie: Tesla could potentially have the most accurate map system that is updated regularly, if not daily. Giving us live update…"
9,2020-07-23,"Why don't you take it all?
You're gonna make it after all!
https://t.co/JlB3Eekpk8 #TSLA #TBT https://t.co/QMzKe7U0qA"
10,2020-07-23,Old resistance becoming new support! #TSLA #TeamElon
11,2020-07-23,"@elonmusk 
So. #Tsla showed another quaterly profit, blew expectations out of the water, is now eligible for inclusion in the S&amp;P 500, announced a new factory in TX and the stock dropped 100 points.
How come?"
12,2020-07-23,"Tesla YouTube video coming soon! Watch this space... 🚀 

$TSLA #TSLA #innovation #disruptive #growth #exponential https://t.co/ctSP7ODB9g"
13,2020-07-23,#tsla down 6% after a massive win. Crazy
14,2020-07-23,"Only one of these companies is building gigafactories, hiring tens of thousands of employees, providing hi-pay rewarding careers, bettering communities, and creating a sustainable future. 

Oh and they sell fun cars too.
#tsla #elonmusk #batteryday #modely #model3 #tech #ev https://t.co/qNtc2Q3im0"
15,2020-07-23,@DDTG_News BUY THE DIP!! #TSLA GO GO GO
16,2020-07-23,Need to see 10%+ down on #TSLA imo for a real bounce attempt in market overall https://t.co/dv8cFdWizu
17,2020-07-23,Whatever it takes. #TSLA https://t.co/3GUI7MbTg5
18,2020-07-23,JPM ads $30 bucks to $tsla valuation. #tsla #tesla #wednesdaymorning
19,2020-07-23,"RT @Travisdleslie: Tesla could potentially have the most accurate map system that is updated regularly, if not daily. Giving us live update…"
20,2020-07-23,Bad bad situation   longer are quickly going to close their position so #SP500 Will go lower and lower . #NASDAQ #SPX #SPX500 #TSLA #amzn . With covid and China tension.... sp500 is going toward 2.800 rapidly
21,2020-07-23,"Tesla is a ‘story stock’, we’re looking for the 'next catalyst in the near term': analyst $TSLA https://t.co/18fOT6BcIr #TSLA #TeslaMotors"
22,2020-07-23,Bought 5 Bear spreads on #TSLA before earnings and is having a great day today. Sell the news
23,2020-07-23,"This is how #tesla stock gets treated #investing #stocks #td #tsla #wfc #x #plnhf #bac #tpr #nat $czr $six $play #mgm 

What's your next move? https://t.co/U27tjfMMCg"
24,2020-07-23,I dont understand wall street. $tsla made a profit and the stock goes down !  Some one explain #tsla
25,2020-07-23,"#TSLA buy the rumour, sell the news they say."
26,2020-07-23,$TSLA will reaches $2000 pretty soon. Just Saying. #TSLA https://t.co/Ioyq1b4080
27,2020-07-23,"#tsla 100 off, &gt; 6%. How much is that off @elonmusk ‘S net worth? 
A ford down today?"
28,2020-07-23,@TheTeslaLife Why is #TSLA stock falling after such great results. I don't understand🤔
29,2020-07-23,#TESLA Q2 Earnings $100M+ and New Gigafactory announced! #TSLA #Stocks going to the moon!! Check this video here https://t.co/CDkSbicpU6 https://t.co/BAR3Nvn2Zo
30,2020-07-23,"I think there will be an entry-level Model 3 at $25K within the next 3 years 

It's going to compete directly with the best-selling sedans in the market (Honda Civic/Accord, Toyota Camry/Corolla)  

#TSLA https://t.co/KKyVSCwnSu"
31,2020-07-23,@stevenmarkryan Why is #TSLA stock falling after such great results. I don't understand🤔
32,2020-07-23,"RT @Travisdleslie: Tesla could potentially have the most accurate map system that is updated regularly, if not daily. Giving us live update…"
33,2020-07-23,@TheTeslaLife Why is #TSLA stock falling after such great results. I don't understand🤔
34,2020-07-23,"#TESLA Q2 Earnings and NEW GIGAFACTORY (Important News Today!!) https://t.co/CDkSbicpU6 #TSLA #stocks
 #stockstowatch #stockstobuy  @elonmusk"
35,2020-07-23,#tsla is ALL over the place right now. Good lord. #StockMarket
36,2020-07-23,"RT @indusraven: ☑️Jim Cramer angrily bashed all Elon Musk Haters ..(Epic stuff)

🔥🔥🔥

""He is a big thinker, he makes us look like Lilliputi…"
37,2020-07-23,"RT @indusraven: ""We wanna slightly profitable &amp; maximize the growth &amp; make car affordable as possible.""

#Tesla #ElonMusk #TSLA
#technology…"
38,2020-07-23,"#TSLA delivers strong quarter earnings, S&amp;P 500 inclusion will happen."
39,2020-07-23,@elonmusk @Teslarati @HyperChangeTV @ARKInvest Today hurt like knives but im in #tsla for the long run
40,2020-07-23,"Sell sell sell  strong sell #SP500 toward 2,850  warning!!!!   #Futures #NASDAQ #SPX #SPX500 #TSLA #amzn #MSFT"
41,2020-07-23,"RT @Travisdleslie: Tesla could potentially have the most accurate map system that is updated regularly, if not daily. Giving us live update…"
42,2020-07-23,@garyblack00 Just love your words &amp; optimism 🤙🏼made my “#TSLA - shareholders-day” 😅👍🏼#TESLA
43,2020-07-23,"Apparently @Barclays investment strategy is...being a bank.
#TSLA $TSLA https://t.co/Aqfur6YJei"
