,Date,Tweets
0,2020-08-06,"“We’ve got Mars on the horizon, 
says the National Midnight Star, 
IT’S TRUE!”
https://t.co/bQxCfImy2L
@SpaceX @elonmusk
#TSLA"
1,2020-08-06,"@elonmusk can you do me a solid in life, and tell me what you think of #Nikola. Tysm Mars Meme King (MMK) #TSLA"
2,2020-08-06,@10xRob MoonShots Or Bust🚀🚀🚀🚀🚀💸💸💸🧀🧀🧀🧀🧀🎱🎱🎱🎱🎱👻👻👻👻🥓🥓🥓🥓🥓🪐🪐🪐🪐🪐🪐🪐🪐🪐🪐🪐🪐🪐🪐 #SpaceX #SpaceForce LETS RIDE! #tsla $tsla @kriptoking7 https://t.co/oTvQeIDAKv
3,2020-08-06,Well we know a Tesla may survive if the Three Gorges Dam collapses 😂 #ThreeGorgesDam #3GD #tsla https://t.co/9mFTQrAblQ
4,2020-08-06,"If this were #tsla, where would you say we are? Let’s see a few responses before I give my opinion... https://t.co/Rf3wFSXYnv"
5,2020-08-06,"$TSLA #TSLA potential ripper if can stay above 1500, looking 1550/1600 call trade"
6,2020-08-06,"Who loves Penny Stocks! My last video has 2 stocks setting up perfectly to make a big move! #CRIS #CVEO 
#AMZN #TSLA #AAPL #AMD #PennyStock
#OPTI already went up 105%
My watchlist
#VYST Needs to Break .10
#RMED Break .35
#TPTW Break .10
Please Subscribe!
https://t.co/XXSSxDx9L0"
7,2020-08-06,@ChrisDungeon Must suck being a #tsla day trader😭😭 there is a pattern tho for them that's easy $ tho
8,2020-08-06,"$TSLA still stuck within tight trading range: https://t.co/knKvYoTQUP
Sentiment: Neutral #TSLA #Tesla"
9,2020-08-06,@WholeMarsBlog How is Uber losing money with ride sharing? Would Tesla also lose $$ if they started one? #TSLA
10,2020-08-06,Trader: Tesla is the model 'Lifecycle trade stock' $TSLA https://t.co/0ECjilSZwd #TSLA #TeslaMotors
11,2020-08-06,$TSLA North American companies eager to answer Tesla boss Elon Musk's call to action for nickel  https://t.co/rUz9zMcQqi via @proactive_ca @Tesla #TSLA
12,2020-08-06,"Buy TESLA Stock Now Or Wait? 
(Risks, Rewards &amp; MY ACTION PLAN) 
 
VIDEO =&gt; https://t.co/IOGhInUhIQ

#tesla #tsla #tslaq #TeslaMotors #EV #Automotive #ukinvesting #ukfinance #ukinvest #investinguk https://t.co/ZmIGVW6uw6"
13,2020-08-06,"Hey @jimcramer, what are you thinking, we will see a stock split for #tsla?"
14,2020-08-06,"Wow #TSLA spikes from 1490 to 1517 in 30 min, then tanks back to 1490 in next 30. 1 hour, 50 point swing."
15,2020-08-06,$TSLA North American companies eager to answer Tesla boss Elon Musk's call to action for nickel  https://t.co/GijKpoch2C via @proactive_NA @Tesla #TSLA
16,2020-08-06,"RT @indusraven: @vincent13031925 Tesla stock this days 😂

@elonmusk

#ElonMusk 
#Tesla 
#TSLA https://t.co/DTaYshtqXw"
17,2020-08-06,"RT @WR4NYGov: Tesla lowers prices

Media: There’s no demand

Audi lowers e-tron price

Media: @Tesla has real competition

#FUD #tslaq #TSLA"
18,2020-08-06,#tsla what a modern day Tesla short squeeze looks like with $1700 bagholders and whale marketcap https://t.co/VFaaa3NYmd
19,2020-08-06,@squawksquare #TSLA woke up late https://t.co/9CpqInBci2
20,2020-08-06,"RT @WR4NYGov: Tesla lowers prices

Media: There’s no demand

Audi lowers e-tron price

Media: @Tesla has real competition

#FUD #tslaq #TSLA"
21,2020-08-06,"RT @indusraven: How many profile hits you had in d first month of your Twitter? 

#Tesla #ElonMusk #space #TSLA"
22,2020-08-06,"How many profile hits you had in d first month of your Twitter? 

#Tesla #ElonMusk #space #TSLA"
23,2020-08-06,RT @Alpha_Bronze: Great! Blink and SemaConnect Announce Interoperability Making Electric Vehicle Charging More Accessible for Drivers Natio…
24,2020-08-06,"Great! Blink and SemaConnect Announce Interoperability Making Electric Vehicle Charging More Accessible for Drivers Nationwide! $BLNK #TSLA #EVs #ElectricVehicles 
https://t.co/0K1jfDuzGq https://t.co/o16wOa0K9y"
25,2020-08-06,"RT @WR4NYGov: Tesla lowers prices

Media: There’s no demand

Audi lowers e-tron price

Media: @Tesla has real competition

#FUD #tslaq #TSLA"
26,2020-08-06,"RT @WR4NYGov: Tesla lowers prices

Media: There’s no demand

Audi lowers e-tron price

Media: @Tesla has real competition

#FUD #tslaq #TSLA"
27,2020-08-06,Invest massively into #TSLA and tell two friends. #ChangeTheWorld #ClimateChange thanks @HyperChangeTV https://t.co/G4yaS118UP
28,2020-08-06,"RT @Jey_Invest: Tesla going to reach a trillion dollar market cap? Here is a in-dept video analysis. #TSLA 

https://t.co/PTeIvUAK4h https:…"
29,2020-08-06,"Buy @Tesla Stock Now Or Wait? (Risks, Rewards &amp; MY ACTION PLAN) @elonmusk
#tesla #tsla #tslaq #TeslaMotors #EV #Automotive #ukinvesting #ukfinance #ukinvest #investinguk https://t.co/IOGhInUhIQ"
30,2020-08-06,Irrational !!! WARNING the big bubble is BLOWING up #SP500 #NASDAQ100 #fcbk #Amzn #tsla #Futures #spx https://t.co/AjLLpCMd0M
31,2020-08-06,"Elon owes me money😡
#tsla #tslaq
https://t.co/s0NPA2WGJd"
